customerID,Gender,Elderly,Married,Dependents,Time_as_a_customer,PhoneService,Internet_Service,Security_Service,Technical_Support,StreamingTV,Contract_type,Payment_Method,Monthly_Payment,Total_Paid,Churn
3841-NFECX,f,1,1,0,71,1.0,fiber optic,1,1,0,two year,credit card (automatic),65.60756321839081,6766.95,0.0
4929-XIHVW,m,1,1,0,2,1.0,fiber optic,0,0,1,month-to-month,credit card (automatic),65.60756321839081,181.65,0.0
6827-IEAUQ,f,0,1,1,27,1.0,dsl,1,1,0,one year,mailed check,65.60756321839081,1874.45,0.0
7310-EGVHZ,m,0,0,0,1,1.0,no,0,0,0,month-to-month,bank transfer (automatic),65.60756321839081,20.2,0.0
3413-BMNZE,m,1,0,0,1,1.0,dsl,0,0,0,month-to-month,bank transfer (automatic),65.60756321839081,45.25,0.0
6234-RAAPL,f,0,1,1,72,1.0,fiber optic,1,1,1,two year,bank transfer (automatic),65.60756321839081,7251.7,0.0
6047-YHPVI,m,0,0,0,5,1.0,fiber optic,0,0,0,month-to-month,electronic check,65.60756321839081,316.9,1.0
6572-ADKRS,f,0,0,0,46,1.0,fiber optic,0,0,0,month-to-month,credit card (automatic),65.60756321839081,3548.3,0.0
5380-WJKOV,m,0,0,0,34,1.0,fiber optic,0,0,1,month-to-month,electronic check,65.60756321839081,3549.25,1.0
8168-UQWWF,f,0,0,0,11,1.0,fiber optic,0,0,1,month-to-month,bank transfer (automatic),65.60756321839081,1105.4,1.0
8865-TNMNX,m,0,1,1,10,1.0,dsl,0,0,0,one year,mailed check,65.60756321839081,475.7,0.0
9489-DEDVP,f,0,1,1,70,1.0,dsl,1,0,1,two year,credit card (automatic),65.60756321839081,4872.35,0.0
9867-JCZSP,f,0,1,1,17,1.0,no,0,0,0,one year,mailed check,65.60756321839081,418.25,0.0
4671-VJLCL,f,0,0,0,63,1.0,dsl,1,1,1,two year,credit card (automatic),65.60756321839081,4861.45,0.0
4080-IIARD,f,0,1,0,13,1.0,dsl,1,1,1,month-to-month,electronic check,65.60756321839081,981.45,0.0
3714-NTNFO,f,0,0,0,49,1.0,fiber optic,0,0,0,month-to-month,electronic check,65.60756321839081,3906.7,0.0
5948-UJZLF,m,0,0,0,2,1.0,dsl,0,0,0,month-to-month,mailed check,65.60756321839081,97.0,0.0
7760-OYPDY,f,0,0,0,2,1.0,fiber optic,0,0,1,month-to-month,electronic check,65.60756321839081,144.15,1.0
7639-LIAYI,m,0,0,0,52,1.0,dsl,1,1,1,two year,credit card (automatic),65.60756321839081,4217.8,0.0
2954-PIBKO,f,0,1,1,69,1.0,dsl,1,1,0,two year,credit card (automatic),65.60756321839081,4254.1,0.0
8012-SOUDQ,f,1,0,0,43,1.0,fiber optic,0,0,1,month-to-month,electronic check,65.60756321839081,3838.75,0.0
9420-LOJKX,f,0,0,0,15,1.0,fiber optic,1,0,1,month-to-month,credit card (automatic),65.60756321839081,1426.4,1.0
6575-SUVOI,f,1,1,0,25,1.0,dsl,1,1,1,month-to-month,credit card (automatic),65.60756321839081,1752.65,0.0
7495-OOKFY,f,1,1,0,8,1.0,fiber optic,0,0,0,month-to-month,credit card (automatic),65.60756321839081,633.3,1.0
4667-QONEA,f,1,1,1,60,1.0,dsl,1,1,0,one year,credit card (automatic),65.60756321839081,4456.35,0.0
1658-BYGOY,m,1,0,0,18,1.0,fiber optic,0,0,1,month-to-month,electronic check,65.60756321839081,1752.55,1.0
8769-KKTPH,f,0,1,1,63,1.0,fiber optic,1,0,1,one year,credit card (automatic),65.60756321839081,6311.2,0.0
5067-XJQFU,m,1,1,1,66,1.0,fiber optic,0,1,1,one year,electronic check,65.60756321839081,7076.35,0.0
3957-SQXML,f,0,1,1,34,1.0,no,0,0,0,two year,credit card (automatic),65.60756321839081,894.3,0.0
5954-BDFSG,f,0,0,0,72,1.0,fiber optic,0,1,1,two year,credit card (automatic),65.60756321839081,7853.7,0.0
0434-CSFON,f,0,1,0,47,1.0,fiber optic,0,0,1,month-to-month,electronic check,65.60756321839081,4707.1,0.0
1215-FIGMP,m,0,0,0,60,1.0,fiber optic,0,0,1,month-to-month,bank transfer (automatic),65.60756321839081,5450.7,0.0
0526-SXDJP,m,0,1,0,72,0.0,dsl,1,0,0,two year,bank transfer (automatic),65.60756321839081,2962.0,0.0
0557-ASKVU,f,0,1,1,18,1.0,dsl,0,1,0,one year,credit card (automatic),65.60756321839081,957.1,0.0
5698-BQJOH,f,0,0,0,9,1.0,fiber optic,0,0,1,month-to-month,electronic check,65.60756321839081,857.25,1.0
5122-CYFXA,f,0,0,0,3,1.0,dsl,0,1,1,month-to-month,electronic check,65.60756321839081,244.1,0.0
8627-ZYGSZ,m,0,1,0,47,1.0,fiber optic,0,0,0,one year,electronic check,65.60756321839081,3650.35,0.0
3410-YOQBQ,f,0,0,0,31,1.0,dsl,0,1,1,two year,mailed check,65.60756321839081,2497.2,0.0
3170-NMYVV,f,0,1,1,50,1.0,no,0,0,0,two year,bank transfer (automatic),65.60756321839081,930.9,0.0
7410-OIEDU,m,0,0,0,10,1.0,fiber optic,1,0,0,month-to-month,mailed check,65.60756321839081,887.35,0.0
2273-QCKXA,m,0,0,0,1,1.0,dsl,0,1,0,month-to-month,mailed check,65.60756321839081,49.05,0.0
0731-EBJQB,f,0,1,1,52,1.0,no,0,0,0,one year,electronic check,65.60756321839081,1090.65,0.0
1891-QRQSA,m,1,1,1,64,1.0,fiber optic,1,1,1,two year,bank transfer (automatic),65.60756321839081,7099.0,0.0
8028-PNXHQ,m,0,1,1,62,1.0,no,0,0,0,two year,bank transfer (automatic),65.60756321839081,1424.6,0.0
5630-AHZIL,f,0,0,1,3,1.0,dsl,1,1,0,month-to-month,bank transfer (automatic),65.60756321839081,177.4,0.0
2673-CXQEU,f,1,0,0,56,1.0,fiber optic,1,0,1,one year,electronic check,65.60756321839081,6139.5,0.0
6416-JNVRK,f,0,0,0,46,1.0,dsl,0,0,0,one year,credit card (automatic),65.60756321839081,2688.85,0.0
5590-ZSKRV,f,0,1,1,8,1.0,dsl,1,0,0,month-to-month,mailed check,65.60756321839081,482.25,0.0
0191-ZHSKZ,m,1,0,0,30,1.0,dsl,1,0,1,month-to-month,electronic check,65.60756321839081,2111.3,0.0
3887-PBQAO,f,0,1,1,45,1.0,no,0,0,0,one year,credit card (automatic),65.60756321839081,1216.6,0.0
5919-TMRGD,f,0,0,1,1,1.0,fiber optic,0,0,1,month-to-month,electronic check,65.60756321839081,79.35,1.0
8108-UXRQN,f,0,1,1,11,0.0,dsl,1,0,1,month-to-month,electronic check,65.60756321839081,565.35,0.0
9191-MYQKX,f,0,1,0,7,1.0,fiber optic,0,0,0,month-to-month,bank transfer (automatic),65.60756321839081,496.9,1.0
9919-YLNNG,f,0,0,0,42,1.0,fiber optic,0,1,1,month-to-month,bank transfer (automatic),65.60756321839081,4327.5,0.0
0318-ZOPWS,f,0,1,0,49,1.0,no,0,0,0,two year,bank transfer (automatic),65.60756321839081,973.35,0.0
4445-ZJNMU,m,0,0,0,9,1.0,fiber optic,0,0,1,month-to-month,credit card (automatic),65.60756321839081,918.75,0.0
4808-YNLEU,f,0,1,0,35,1.0,dsl,1,0,1,one year,bank transfer (automatic),65.60756321839081,2215.45,0.0
1862-QRWPE,f,0,1,1,48,1.0,no,0,0,0,two year,bank transfer (automatic),65.60756321839081,1057.0,0.0
2796-NNUFI,f,0,1,1,46,1.0,no,0,0,0,two year,mailed check,65.60756321839081,927.1,0.0
3016-KSVCP,m,0,1,0,29,0.0,dsl,0,0,1,month-to-month,mailed check,65.60756321839081,1009.25,0.0
4767-HZZHQ,m,0,1,1,30,1.0,fiber optic,0,0,0,month-to-month,bank transfer (automatic),65.60756321839081,2570.2,0.0
2424-WVHPL,m,1,0,0,1,1.0,fiber optic,0,1,0,month-to-month,electronic check,65.60756321839081,74.7,0.0
7233-PAHHL,m,0,1,1,66,1.0,dsl,1,1,1,two year,mailed check,65.60756321839081,5714.25,0.0
6067-NGCEU,f,0,0,0,65,1.0,fiber optic,1,0,1,month-to-month,credit card (automatic),65.60756321839081,7107.0,0.0
9848-JQJTX,m,0,0,0,72,1.0,fiber optic,0,0,1,two year,bank transfer (automatic),65.60756321839081,7459.05,0.0
8637-XJIVR,f,0,0,0,12,1.0,fiber optic,1,0,0,month-to-month,electronic check,65.60756321839081,927.35,1.0
9803-FTJCG,m,0,1,1,71,1.0,dsl,1,1,0,one year,credit card (automatic),65.60756321839081,4748.7,0.0
0278-YXOOG,m,0,0,0,5,1.0,no,0,0,0,month-to-month,mailed check,65.60756321839081,113.85,1.0
3212-KXOCR,m,0,0,0,52,1.0,no,0,0,0,two year,bank transfer (automatic),65.60756321839081,1107.2,0.0
4598-XLKNJ,f,1,1,0,25,1.0,fiber optic,0,0,1,month-to-month,electronic check,65.60756321839081,2514.5,1.0
6380-ARCEH,m,0,0,0,1,1.0,no,0,0,0,month-to-month,mailed check,65.60756321839081,20.2,0.0
3679-XASPY,f,0,1,1,1,1.0,no,0,0,0,month-to-month,electronic check,65.60756321839081,19.45,0.0
7123-WQUHX,m,0,0,0,38,1.0,fiber optic,0,1,1,one year,bank transfer (automatic),65.60756321839081,3605.6,0.0
5386-THSLQ,f,1,1,0,66,0.0,dsl,0,0,1,one year,bank transfer (automatic),65.60756321839081,3027.25,0.0
3192-NQECA,m,0,1,0,68,1.0,fiber optic,0,1,1,two year,bank transfer (automatic),65.60756321839081,7611.85,1.0
6180-YBIQI,m,0,0,0,5,0.0,dsl,0,0,0,month-to-month,mailed check,65.60756321839081,100.2,0.0
6728-DKUCO,f,0,1,1,72,1.0,fiber optic,1,0,1,one year,electronic check,65.60756321839081,7303.05,0.0
9750-BOOHV,f,0,0,0,32,0.0,dsl,1,0,0,one year,mailed check,65.60756321839081,927.65,0.0
8597-CWYHH,m,0,0,0,43,1.0,fiber optic,0,0,1,one year,mailed check,65.60756321839081,3921.3,0.0
2848-YXSMW,m,0,1,1,72,1.0,no,0,0,0,two year,credit card (automatic),65.60756321839081,1363.25,0.0
0486-HECZI,m,0,1,0,55,1.0,fiber optic,1,0,1,month-to-month,electronic check,65.60756321839081,5238.9,1.0
4549-ZDQYY,f,0,0,0,52,1.0,dsl,1,1,0,one year,credit card (automatic),65.60756321839081,3042.25,0.0
5712-AHQNN,f,0,0,0,43,1.0,fiber optic,0,0,1,month-to-month,electronic check,65.60756321839081,3954.1,0.0
4846-WHAFZ,f,1,1,0,37,1.0,fiber optic,0,0,0,month-to-month,electronic check,65.60756321839081,2868.15,1.0
5256-SKJGO,f,0,1,1,64,0.0,dsl,0,1,1,two year,electronic check,65.60756321839081,3423.5,0.0
3071-VBYPO,m,0,1,1,3,1.0,fiber optic,1,0,1,month-to-month,electronic check,65.60756321839081,248.4,0.0
9560-BBZXK,f,0,0,0,36,0.0,dsl,1,0,0,two year,bank transfer (automatic),65.60756321839081,1126.35,0.0
5299-RULOA,f,0,1,1,10,1.0,fiber optic,1,0,1,month-to-month,electronic check,65.60756321839081,1064.65,1.0
8402-OOOHJ,f,0,0,0,41,1.0,no,0,0,0,two year,mailed check,65.60756321839081,835.15,0.0
9445-ZUEQE,m,0,1,1,27,1.0,fiber optic,0,1,0,month-to-month,credit card (automatic),65.60756321839081,2151.6,0.0
1091-SOZGA,f,0,1,1,56,1.0,fiber optic,0,0,1,one year,credit card (automatic),65.60756321839081,5515.45,0.0
2928-HLDBA,f,0,0,0,6,1.0,no,0,0,0,month-to-month,mailed check,65.60756321839081,112.75,0.0
0404-SWRVG,m,0,0,0,3,1.0,fiber optic,0,0,0,month-to-month,electronic check,65.60756321839081,229.55,1.0
6497-TILVL,f,0,1,1,7,1.0,dsl,1,0,0,month-to-month,mailed check,65.60756321839081,350.35,0.0
7219-TLZHO,f,0,1,1,4,1.0,no,0,0,0,month-to-month,mailed check,65.60756321839081,62.9,0.0
4622-YNKIJ,m,0,0,0,33,1.0,fiber optic,1,1,1,two year,electronic check,65.60756321839081,3027.65,0.0
4412-YLTKF,f,1,0,0,27,1.0,fiber optic,0,0,0,month-to-month,electronic check,65.60756321839081,2135.5,1.0
6734-PSBAW,m,0,1,0,72,1.0,no,0,0,0,two year,bank transfer (automatic),65.60756321839081,1723.95,0.0
3930-ZGWVE,m,0,0,0,1,1.0,no,0,0,0,month-to-month,mailed check,65.60756321839081,19.75,0.0
2639-UGMAZ,m,1,0,0,71,0.0,dsl,1,0,1,one year,electronic check,65.60756321839081,3985.35,0.0
2876-GZYZC,f,0,0,0,13,1.0,fiber optic,0,0,0,month-to-month,electronic check,65.60756321839081,1215.65,0.0
6207-WIOLX,f,0,1,1,25,0.0,dsl,1,0,1,month-to-month,credit card (automatic),65.60756321839081,1502.65,1.0
8587-XYZSF,m,0,0,0,67,1.0,dsl,0,1,0,two year,bank transfer (automatic),65.60756321839081,3260.1,0.0
3091-FYHKI,m,0,0,0,1,0.0,dsl,0,0,0,month-to-month,electronic check,65.60756321839081,35.45,1.0
2372-HWUHI,m,0,0,0,2,1.0,dsl,0,0,0,month-to-month,electronic check,65.60756321839081,81.25,1.0
7799-LGRDP,f,0,0,0,43,1.0,no,0,0,0,two year,credit card (automatic),65.60756321839081,1188.2,0.0
7850-VWJUU,f,0,0,0,23,1.0,fiber optic,1,0,0,month-to-month,bank transfer (automatic),65.60756321839081,1778.5,0.0
3774-VBNXY,f,0,1,1,64,1.0,no,0,0,0,two year,mailed check,65.60756321839081,1277.75,0.0
6217-KDYWC,m,0,0,1,57,1.0,no,0,0,0,two year,mailed check,65.60756321839081,1170.55,0.0
0390-DCFDQ,f,1,1,0,1,1.0,fiber optic,0,0,0,month-to-month,mailed check,65.60756321839081,70.45,1.0
3146-MSEGF,f,1,1,1,72,1.0,dsl,1,1,1,two year,credit card (automatic),65.60756321839081,6425.65,0.0
4080-OGPJL,f,0,0,0,8,1.0,dsl,1,1,0,month-to-month,electronic check,65.60756321839081,563.65,1.0
1095-WGNGG,f,0,1,0,61,1.0,fiber optic,0,0,1,two year,bank transfer (automatic),65.60756321839081,5971.25,0.0
2636-SJDOU,m,0,0,0,64,1.0,fiber optic,1,0,0,one year,credit card (automatic),65.60756321839081,5289.05,0.0
1131-QQZEB,m,1,1,0,71,1.0,no,0,0,0,two year,bank transfer (automatic),65.60756321839081,1756.2,0.0
5716-EZXZN,f,0,1,1,65,1.0,fiber optic,1,1,1,two year,credit card (automatic),65.60756321839081,6416.7,0.0
6837-BJYDQ,m,0,0,0,3,1.0,no,0,0,0,one year,mailed check,65.60756321839081,61.35,0.0
2135-RXIHG,m,0,0,0,1,1.0,dsl,0,0,0,month-to-month,electronic check,65.60756321839081,45.65,1.0
6440-DKQGE,m,0,0,1,30,1.0,dsl,0,0,1,one year,credit card (automatic),65.60756321839081,1929.95,0.0
3466-BYAVD,m,0,1,1,15,1.0,dsl,0,1,0,month-to-month,mailed check,65.60756321839081,1071.4,0.0
3780-YVMFA,f,0,1,1,8,1.0,dsl,0,1,1,month-to-month,electronic check,65.60756321839081,564.35,0.0
3874-EQOEP,m,0,0,0,7,1.0,fiber optic,0,0,1,month-to-month,mailed check,65.60756321839081,655.5,1.0
1679-JRFBR,f,0,1,1,70,1.0,fiber optic,1,0,1,one year,credit card (automatic),65.60756321839081,7930.55,0.0
9073-ZZIAY,m,0,1,1,62,1.0,dsl,1,1,1,two year,electronic check,65.60756321839081,5215.25,0.0
3077-RSNTJ,f,0,1,1,6,1.0,no,0,0,0,month-to-month,mailed check,65.60756321839081,113.5,0.0
6551-GNYDG,f,0,1,1,14,1.0,fiber optic,0,0,0,month-to-month,bank transfer (automatic),65.60756321839081,1152.8,0.0
9167-APMXZ,f,0,0,0,22,1.0,fiber optic,0,0,1,month-to-month,bank transfer (automatic),65.60756321839081,1821.95,0.0
2749-CTKAJ,m,0,1,1,22,1.0,no,0,0,0,one year,mailed check,65.60756321839081,419.9,0.0
6371-NZYEG,m,0,1,1,16,1.0,dsl,1,0,1,two year,mailed check,65.60756321839081,1024.0,0.0
7554-NEWDD,m,0,0,0,10,1.0,no,0,0,0,two year,bank transfer (automatic),65.60756321839081,251.6,0.0
8992-VONJD,f,0,0,1,13,1.0,dsl,1,0,0,month-to-month,electronic check,65.60756321839081,764.55,0.0
0867-MKZVY,f,0,1,0,20,1.0,fiber optic,1,0,0,month-to-month,electronic check,65.60756321839081,1592.35,1.0
4482-EWFMI,f,0,0,0,2,1.0,fiber optic,0,0,0,month-to-month,electronic check,65.60756321839081,135.2,0.0
4648-YPBTM,m,0,0,0,53,1.0,dsl,0,1,0,two year,bank transfer (automatic),65.60756321839081,3958.25,0.0
2907-ILJBN,f,0,1,1,11,1.0,no,0,0,0,one year,mailed check,65.60756321839081,233.9,0.0
6345-FZOQH,m,0,1,0,69,1.0,no,0,0,0,two year,mailed check,65.60756321839081,1363.45,0.0
3376-BMGFE,f,0,0,0,4,1.0,fiber optic,0,0,0,month-to-month,bank transfer (automatic),65.60756321839081,273.0,1.0
5997-OPVFA,m,0,1,0,72,1.0,dsl,1,1,1,two year,bank transfer (automatic),65.60756321839081,6254.45,0.0
3445-HXXGF,m,1,1,0,58,1.0,dsl,0,0,0,month-to-month,electronic check,65.60756321839081,2651.2,1.0
1159-WFSGR,f,0,1,1,16,1.0,no,0,0,0,month-to-month,electronic check,65.60756321839081,321.4,0.0
7654-YWJUF,m,0,1,0,43,1.0,fiber optic,1,1,0,one year,bank transfer (automatic),65.60756321839081,3539.25,0.0
1875-QIVME,f,0,1,0,2,1.0,fiber optic,0,1,1,month-to-month,electronic check,65.60756321839081,242.8,1.0
6727-IOTLZ,m,0,1,0,14,1.0,dsl,0,1,1,two year,mailed check,65.60756321839081,1181.75,0.0
0691-JVSYA,f,0,1,0,53,1.0,fiber optic,0,0,1,one year,bank transfer (automatic),65.60756321839081,5000.2,1.0
5918-VUKWP,f,0,0,0,32,1.0,no,0,0,0,one year,bank transfer (automatic),65.60756321839081,654.55,0.0
1744-JHKYS,f,0,1,0,34,1.0,no,0,0,0,month-to-month,electronic check,65.60756321839081,780.2,0.0
2656-FMOKZ,f,1,0,0,15,1.0,fiber optic,0,0,0,month-to-month,mailed check,65.60756321839081,1145.7,1.0
2070-FNEXE,f,1,0,0,7,1.0,fiber optic,1,0,0,month-to-month,bank transfer (automatic),65.60756321839081,503.6,1.0
5947-SGKCL,f,0,1,1,15,1.0,fiber optic,0,0,1,month-to-month,bank transfer (automatic),65.60756321839081,1559.25,0.0
3712-PKXZA,m,0,1,0,61,1.0,no,0,0,0,one year,credit card (automatic),65.60756321839081,1252.0,0.0
6317-YPKDH,f,0,0,0,1,1.0,dsl,0,0,0,month-to-month,bank transfer (automatic),65.60756321839081,29.95,1.0
6582-OIVSP,f,0,0,0,1,1.0,dsl,0,0,0,month-to-month,mailed check,65.60756321839081,45.3,0.0
9367-WXLCH,m,0,0,0,8,1.0,fiber optic,0,0,0,month-to-month,bank transfer (automatic),65.60756321839081,662.65,1.0
5524-KHNJP,m,0,1,1,33,1.0,dsl,1,0,1,one year,credit card (automatic),65.60756321839081,2453.3,0.0
1918-ZBFQJ,f,0,0,0,13,1.0,fiber optic,0,0,0,month-to-month,electronic check,65.60756321839081,1111.65,1.0
1024-GUALD,f,0,1,0,1,1.0,dsl,0,0,0,month-to-month,electronic check,65.60756321839081,24.8,1.0
4827-USJHP,m,0,0,0,20,1.0,dsl,0,0,0,month-to-month,mailed check,65.60756321839081,1023.85,0.0
8167-GJLRN,m,0,0,0,3,1.0,dsl,0,1,0,month-to-month,electronic check,65.60756321839081,82.15,0.0
0956-SYCWG,f,0,0,0,13,1.0,no,0,0,0,one year,electronic check,65.60756321839081,244.8,0.0
8017-UVSZU,f,0,1,0,40,1.0,dsl,0,0,0,month-to-month,credit card (automatic),65.60756321839081,2379.1,0.0
7100-FQPRV,m,0,1,1,43,1.0,dsl,1,1,0,one year,credit card (automatic),65.60756321839081,3173.35,0.0
2472-OVKUP,m,0,1,0,6,1.0,fiber optic,0,0,0,month-to-month,electronic check,65.60756321839081,531.0,1.0
2984-RGEYA,f,0,1,1,69,1.0,no,0,0,0,two year,bank transfer (automatic),65.60756321839081,1375.4,0.0
9680-NIAUV,f,0,1,1,72,1.0,fiber optic,1,0,1,two year,credit card (automatic),65.60756321839081,8129.3,0.0
2146-EGVDT,m,0,1,1,59,1.0,no,0,0,0,two year,credit card (automatic),65.60756321839081,1192.7,0.0
2604-IJPDU,f,0,1,0,20,1.0,fiber optic,1,1,1,month-to-month,electronic check,65.60756321839081,1901.65,0.0
9178-JHUVJ,m,0,1,1,24,1.0,no,0,0,0,two year,bank transfer (automatic),65.60756321839081,587.4,0.0
6168-YBYNP,m,0,0,0,59,1.0,fiber optic,0,1,1,month-to-month,electronic check,65.60756321839081,6519.75,0.0
7255-SSFBC,m,0,1,1,72,1.0,fiber optic,0,1,1,two year,bank transfer (automatic),65.60756321839081,8041.65,0.0
3645-DEYGF,m,0,0,1,1,1.0,no,0,0,0,month-to-month,mailed check,65.60756321839081,20.75,0.0
9323-HGFWY,f,0,1,0,27,1.0,fiber optic,1,1,1,one year,credit card (automatic),65.60756321839081,2681.15,0.0
8544-GOQSH,f,0,0,0,14,1.0,fiber optic,0,1,0,month-to-month,credit card (automatic),65.60756321839081,1112.3,0.0
3363-DTIVD,m,0,1,1,71,1.0,fiber optic,1,0,1,two year,electronic check,65.60756321839081,7405.5,0.0
7018-WBJNK,m,0,0,1,13,1.0,fiber optic,0,0,1,month-to-month,credit card (automatic),65.60756321839081,1033.95,0.0
9142-KZXOP,m,0,0,0,44,1.0,fiber optic,0,0,0,month-to-month,credit card (automatic),65.60756321839081,2958.95,0.0
7674-YTAFD,f,0,0,0,33,1.0,fiber optic,0,1,0,one year,bank transfer (automatic),65.60756321839081,2684.85,0.0
6348-SNFUS,m,0,1,1,72,1.0,dsl,1,1,0,two year,credit card (automatic),65.60756321839081,4179.2,0.0
1285-OKIPP,m,0,0,0,1,1.0,fiber optic,0,0,0,month-to-month,electronic check,65.60756321839081,79.9,1.0
7825-ECJRF,f,0,0,0,19,1.0,fiber optic,1,1,1,month-to-month,electronic check,65.60756321839081,1934.45,1.0
1347-KTTTA,m,0,1,0,64,1.0,fiber optic,0,1,1,one year,credit card (automatic),65.60756321839081,6654.1,0.0
7841-TZDMQ,m,0,0,0,2,1.0,dsl,0,0,0,month-to-month,credit card (automatic),65.60756321839081,84.5,1.0
4195-NZGTA,f,0,0,0,1,1.0,dsl,0,0,0,month-to-month,electronic check,65.60756321839081,25.25,0.0
7157-SMCFK,m,0,0,1,61,1.0,no,0,0,0,two year,mailed check,65.60756321839081,1124.2,0.0
4709-LKHYG,f,0,1,1,29,1.0,no,0,0,0,one year,electronic check,65.60756321839081,540.05,0.0
2504-DSHIH,m,1,1,0,23,1.0,fiber optic,0,0,0,month-to-month,electronic check,65.60756321839081,1975.85,0.0
0699-NDKJM,f,0,1,0,57,1.0,dsl,1,0,1,month-to-month,bank transfer (automatic),65.60756321839081,3437.45,0.0
9286-BHDQG,m,0,1,1,72,1.0,dsl,1,1,0,two year,credit card (automatic),65.60756321839081,3139.8,0.0
0230-WEQUW,m,0,1,0,66,1.0,dsl,1,1,1,two year,bank transfer (automatic),65.60756321839081,3789.2,0.0
2040-LDIWQ,m,0,1,1,65,1.0,dsl,0,1,1,two year,bank transfer (automatic),65.60756321839081,5324.5,0.0
6496-JDSSB,f,0,0,0,8,1.0,fiber optic,0,0,1,month-to-month,bank transfer (automatic),65.60756321839081,624.6,0.0
9408-SSNVZ,f,0,0,0,4,1.0,fiber optic,0,0,0,month-to-month,electronic check,65.60756321839081,268.35,1.0
4443-EMBNA,f,0,1,0,71,1.0,no,0,0,0,two year,bank transfer (automatic),65.60756321839081,1836.9,0.0
6469-MRVET,m,0,1,1,1,1.0,no,0,0,0,one year,electronic check,65.60756321839081,20.2,0.0
0742-MOABM,m,0,1,0,4,1.0,dsl,0,1,0,month-to-month,mailed check,65.60756321839081,179.35,1.0
5961-VUSRV,f,0,0,0,12,1.0,no,0,0,0,one year,bank transfer (automatic),65.60756321839081,219.35,0.0
6778-JFCMK,m,0,0,0,24,1.0,dsl,1,0,1,one year,mailed check,65.60756321839081,1288.75,0.0
6341-JVQGF,f,0,1,1,31,1.0,dsl,1,1,1,one year,mailed check,65.60756321839081,2545.75,0.0
2232-DMLXU,f,0,1,0,1,1.0,dsl,0,0,1,month-to-month,mailed check,65.60756321839081,55.2,1.0
4811-JBUVU,m,0,0,0,30,1.0,fiber optic,0,1,0,month-to-month,credit card (automatic),65.60756321839081,2723.15,0.0
0945-TSONX,f,0,1,1,47,1.0,dsl,1,1,1,two year,credit card (automatic),65.60756321839081,4107.25,0.0
2651-ZCBXV,m,0,0,0,54,1.0,fiber optic,1,1,1,two year,credit card (automatic),65.60756321839081,5760.65,0.0
3316-UWXUY,m,0,0,0,50,1.0,fiber optic,1,1,0,month-to-month,credit card (automatic),65.60756321839081,4747.5,0.0
8937-RDTHP,m,0,0,0,1,1.0,fiber optic,1,0,0,month-to-month,mailed check,65.60756321839081,84.6,1.0
7083-MIOPC,f,0,0,0,72,1.0,no,0,0,0,two year,credit card (automatic),65.60756321839081,1566.9,0.0
1984-GPTEH,f,0,0,0,29,1.0,no,0,0,0,month-to-month,electronic check,65.60756321839081,702.0,0.0
1251-KRREG,m,0,0,0,2,1.0,dsl,0,0,0,month-to-month,mailed check,65.60756321839081,114.1,1.0
