Valor_Condominio,Metragem,N_Quartos,N_banheiros,N_Suites,N_Vagas
800.0,68.0,2,1,0,1
450.0,80.0,2,1,0,1
0.0,53.0,2,1,0,0
1057.0,113.0,3,3,1,2
330.0,36.0,1,2,1,1
1500.0,104.0,3,2,1,2
563.0,62.0,2,2,1,1
230.0,48.0,2,1,0,1
490.0,50.0,1,2,1,1
800.0,70.0,2,2,1,1
750.0,85.0,3,2,1,2
600.0,66.0,2,2,1,1
220.0,60.0,2,2,1,1
145.0,70.0,2,2,1,1
852.0,90.0,3,2,1,2
300.0,35.0,1,2,1,1
180.0,48.0,2,1,0,1
352.0,53.0,2,2,1,1
200.0,62.0,1,1,0,1
2200.0,251.0,4,5,4,5
0.0,61.0,3,2,1,1
550.0,35.0,1,2,1,1
598.0,95.0,3,2,1,2
925.0,79.0,2,2,1,1
2200.0,215.0,3,4,1,3
0.0,42.0,2,1,0,1
552.0,35.0,1,2,1,1
550.0,63.0,3,2,1,1
580.0,60.0,2,2,1,1
415.0,48.0,2,2,1,1
450.0,46.0,3,2,1,1
437.0,58.0,2,1,0,1
1290.0,189.0,3,4,3,3
263.0,32.0,1,1,0,1
667.0,76.0,2,1,0,1
2100.0,340.0,4,4,3,3
500.0,69.0,3,2,1,1
1800.0,170.0,4,5,3,3
0.0,207.0,4,5,4,3
700.0,80.0,3,2,1,1
1100.0,126.0,4,4,2,2
619.0,69.0,2,2,1,2
890.0,95.0,2,2,1,2
2700.0,170.0,3,3,2,3
80.0,145.0,4,1,2,3
660.0,88.0,3,2,1,2
0.0,50.0,2,2,1,1
392.0,52.0,2,1,0,1
3265.0,230.0,4,3,1,3
424.0,54.0,2,1,0,1
900.0,52.0,1,2,1,1
3300.0,171.0,3,3,1,3
857.0,115.0,3,2,1,2
600.0,57.0,2,1,0,1
1108.0,120.0,3,2,1,1
120.0,50.0,2,1,0,0
0.0,50.0,2,2,1,1
600.0,58.0,1,2,1,2
190.0,50.0,1,2,1,1
637.0,70.0,3,2,1,1
1720.0,176.0,4,2,1,2
450.0,60.0,2,2,1,1
450.0,60.0,2,1,0,1
0.0,50.0,2,1,0,1
0.0,52.0,2,2,1,1
737.0,62.0,2,2,1,1
650.0,95.0,3,1,2,2
755.0,104.0,3,3,1,1
692.0,83.0,2,3,2,2
386.0,41.0,1,1,0,0
450.0,54.0,2,2,1,1
650.0,72.0,3,2,1,2
400.0,55.0,2,2,1,1
0.0,72.0,3,2,1,2
273.0,31.0,1,1,0,1
1580.0,180.0,3,5,3,3
0.0,60.0,3,2,1,1
0.0,60.0,2,2,1,1
550.0,50.0,2,2,1,1
480.0,125.0,3,2,1,1
450.0,62.0,3,2,1,1
515.0,53.0,2,2,1,1
480.0,82.0,2,2,1,1
355.0,60.0,2,2,1,1
1200.0,60.0,2,3,2,2
590.0,64.0,3,2,1,1
377.0,50.0,2,2,1,1
720.0,40.0,1,2,1,1
1842.0,42.0,1,1,0,2
2540.0,169.0,4,4,3,4
540.0,67.0,2,2,1,2
0.0,43.0,2,2,1,1
0.0,52.0,2,2,1,1
1100.0,154.0,3,3,1,2
1000.0,119.0,2,3,2,2
445.0,65.0,2,2,1,1
970.0,100.0,3,2,1,2
314.0,43.0,1,1,0,0
450.0,34.0,1,1,0,1
270.0,55.0,2,2,1,1
490.0,53.0,2,2,1,1
665.0,65.0,2,2,1,1
1050.0,100.0,2,2,1,2
700.0,60.0,2,2,1,2
0.0,67.0,2,2,1,1
400.0,68.0,2,2,1,1
1292.0,174.0,3,4,3,2
300.0,66.0,2,2,1,1
550.0,55.0,2,2,1,1
550.0,61.0,3,2,1,1
1500.0,230.0,4,5,4,0
456.0,49.0,1,2,1,1
470.0,66.0,3,2,1,1
1600.0,179.0,3,4,3,3
340.0,35.0,1,2,1,1
530.0,60.0,2,2,1,1
512.0,38.0,1,1,0,0
900.0,83.0,2,1,0,0
742.0,81.0,2,2,1,2
0.0,63.0,3,2,1,1
500.0,69.0,3,2,1,1
1200.0,185.0,4,5,3,2
560.0,47.0,1,1,0,1
100.0,68.0,1,1,0,1
3300.0,205.0,3,2,1,3
2920.0,250.0,4,6,3,2
870.0,70.0,2,1,0,1
1200.0,120.0,3,2,1,2
220.0,54.0,2,2,1,1
2900.0,220.0,3,3,1,2
200.0,50.0,2,2,1,1
700.0,70.0,2,2,1,2
1100.0,134.0,3,3,1,2
1000.0,98.0,3,1,0,1
2300.0,168.0,3,4,3,2
350.0,70.0,2,1,0,1
662.0,58.0,2,2,1,1
571.0,55.0,1,1,0,1
480.0,50.0,2,2,1,1
250.0,61.0,2,1,0,0
650.0,77.0,2,2,1,2
1200.0,128.0,3,2,1,1
0.0,35.0,1,1,0,1
400.0,75.0,2,2,1,1
1000.0,122.0,2,2,1,3
470.0,51.0,2,1,0,1
0.0,130.0,3,4,3,3
2400.0,220.0,3,4,3,4
561.0,46.0,1,1,0,1
1050.0,86.0,2,2,1,1
1876.0,127.0,2,3,1,1
327.0,50.0,1,2,1,1
255.0,30.0,1,2,1,1
1475.0,127.0,3,4,3,3
2430.0,195.0,4,5,3,3
554.0,50.0,2,1,0,1
440.0,36.0,1,1,0,1
80.0,38.0,2,1,0,1
460.0,68.0,2,2,1,1
2333.0,153.0,4,4,2,3
1300.0,150.0,3,2,1,1
408.0,80.0,2,2,1,1
425.0,35.0,1,2,1,1
750.0,93.0,2,3,2,2
1400.0,132.0,3,2,1,1
725.0,63.0,1,2,1,1
600.0,60.0,2,2,1,1
436.0,45.0,1,1,0,1
273.0,31.0,1,1,0,1
322.0,37.0,1,2,1,1
465.0,60.0,2,2,1,1
382.0,56.0,1,2,1,1
2000.0,251.0,4,5,4,4
1546.0,177.0,3,5,3,3
991.0,110.0,2,2,1,2
574.0,80.0,3,2,1,2
580.0,70.0,2,2,1,1
1120.0,154.0,3,2,1,3
250.0,46.0,2,1,0,1
50.0,45.0,2,2,1,1
1000.0,100.0,3,1,0,1
515.0,58.0,2,2,1,1
394.0,62.0,2,2,1,1
2500.0,211.0,3,5,3,3
830.0,94.0,3,2,1,1
5000.0,290.0,4,6,4,4
120.0,49.0,2,1,0,1
850.0,73.0,2,2,1,1
1155.0,125.0,3,3,2,3
0.0,69.0,3,2,1,1
495.0,47.0,2,2,1,1
580.0,64.0,2,2,1,1
1400.0,132.0,3,2,1,1
300.0,60.0,2,2,1,1
1800.0,150.0,3,4,2,2
450.0,30.0,1,2,1,1
1074.0,71.0,2,3,2,2
540.0,49.0,1,1,0,1
1010.0,107.0,3,2,1,1
1034.0,122.0,3,4,3,3
0.0,70.0,3,2,1,1
692.0,79.0,2,2,1,2
2160.0,140.0,3,3,2,3
600.0,65.0,2,2,1,1
430.0,50.0,2,2,1,1
680.0,70.0,3,2,1,1
471.0,58.0,3,2,1,1
596.0,78.0,3,2,1,2
490.0,60.0,2,2,1,2
500.0,80.0,2,1,0,1
597.0,58.0,1,2,1,2
1850.0,163.0,3,4,3,3
816.0,84.0,1,1,0,1
1900.0,234.0,4,4,3,4
675.0,52.0,2,1,0,1
495.0,65.0,3,1,0,1
440.0,50.0,2,2,1,1
1100.0,40.0,1,2,1,1
1250.0,135.0,3,2,1,2
852.0,70.0,2,2,1,1
2050.0,247.0,4,5,4,4
700.0,80.0,1,2,1,1
0.0,65.0,2,2,1,1
810.0,60.0,1,2,1,2
1245.0,140.0,3,2,1,3
420.0,46.0,2,2,1,1
570.0,50.0,2,2,1,1
453.0,42.0,1,1,0,0
0.0,110.0,2,2,1,1
0.0,65.0,2,1,0,0
410.0,50.0,3,2,1,1
1510.0,116.0,3,2,1,1
0.0,50.0,1,1,0,0
0.0,75.0,3,2,1,2
420.0,50.0,2,2,1,1
400.0,49.0,2,1,0,1
450.0,50.0,2,1,0,1
643.0,58.0,3,2,1,1
500.0,70.0,2,2,1,1
610.0,68.0,2,1,0,1
500.0,70.0,2,2,1,1
2833.0,184.0,3,4,3,4
580.0,70.0,1,1,0,1
1000.0,72.0,2,1,0,1
320.0,39.0,2,1,0,1
1000.0,70.0,2,2,1,2
3300.0,180.0,3,2,1,3
890.0,95.0,3,2,1,2
392.0,50.0,2,2,1,1
475.0,60.0,2,2,1,1
1064.0,65.0,2,1,0,1
436.0,54.0,2,1,0,0
1160.0,60.0,2,1,0,2
596.0,69.0,3,2,1,1
0.0,53.0,2,2,1,1
400.0,36.0,1,2,1,1
0.0,57.0,3,2,1,1
1345.0,163.0,4,5,3,3
3895.0,393.0,4,4,3,4
1500.0,120.0,4,4,3,3
580.0,60.0,2,2,1,2
673.0,50.0,1,2,1,1
500.0,55.0,2,2,1,1
546.0,65.0,3,2,1,1
564.0,63.0,3,2,1,1
680.0,71.0,3,2,1,3
452.0,39.0,1,1,0,1
700.0,75.0,3,2,1,1
760.0,60.0,3,1,0,1
1900.0,30.0,1,1,0,1
680.0,65.0,2,3,2,1
434.0,62.0,3,2,1,1
542.0,68.0,3,2,1,1
1251.0,65.0,1,2,1,1
458.0,57.0,1,2,1,0
700.0,94.0,2,3,1,2
180.0,70.0,2,2,1,1
450.0,50.0,2,2,1,1
2700.0,291.0,4,4,1,3
911.0,86.0,3,2,1,2
529.0,50.0,2,2,1,1
480.0,55.0,2,2,0,1
950.0,87.0,2,3,1,2
291.0,57.0,2,2,1,1
1700.0,188.0,3,5,3,3
934.0,110.0,3,2,1,2
539.0,39.0,1,2,1,1
500.0,35.0,1,1,0,1
390.0,82.0,3,2,1,1
2000.0,215.0,2,4,1,2
470.0,65.0,2,2,1,1
476.0,64.0,1,1,0,0
290.0,38.0,2,2,1,1
550.0,62.0,2,2,1,1
500.0,59.0,2,2,1,1
564.0,55.0,2,1,0,1
299.0,65.0,2,1,0,1
0.0,48.0,2,2,1,1
306.0,70.0,3,2,1,1
765.0,79.0,2,2,1,2
530.0,58.0,2,1,0,1
481.0,52.0,2,1,0,1
1400.0,130.0,3,2,1,1
393.0,50.0,2,2,1,1
452.0,39.0,1,1,0,1
1700.0,100.0,3,2,1,2
1980.0,204.0,3,4,3,3
972.0,85.0,2,2,1,1
450.0,60.0,2,2,1,1
1964.0,165.0,3,4,3,3
850.0,82.0,3,2,1,1
0.0,60.0,2,2,1,1
953.0,125.0,3,2,1,2
550.0,60.0,2,2,1,1
950.0,103.0,3,2,0,1
370.0,117.0,1,2,1,1
580.0,98.0,2,1,2,2
569.0,49.0,2,2,1,1
1780.0,130.0,2,1,0,2
415.0,52.0,2,2,1,1
540.0,70.0,2,2,1,1
700.0,120.0,4,1,0,1
150.0,40.0,1,1,0,1
500.0,65.0,2,2,1,1
656.0,55.0,2,2,1,1
660.0,38.0,1,2,1,1
0.0,50.0,2,1,0,1
352.0,45.0,1,1,0,1
600.0,63.0,1,2,1,1
4000.0,300.0,4,5,4,4
370.0,50.0,2,2,1,1
2800.0,207.0,4,3,2,3
0.0,35.0,1,2,1,1
499.0,60.0,2,2,1,1
490.0,70.0,2,2,1,1
678.0,75.0,3,2,1,2
380.0,48.0,2,2,1,1
492.0,58.0,2,1,0,1
388.0,58.0,2,2,1,1
968.0,89.0,3,3,1,1
570.0,51.0,1,2,1,1
750.0,70.0,2,2,1,2
770.0,66.0,1,2,1,1
450.0,57.0,2,2,1,1
2500.0,250.0,4,5,4,4
800.0,68.0,3,2,1,2
1400.0,45.0,1,2,1,1
0.0,65.0,2,2,1,1
450.0,49.0,1,2,1,1
0.0,50.0,2,2,1,1
640.0,44.0,1,2,1,1
490.0,92.0,3,2,1,1
380.0,50.0,2,1,0,1
605.0,65.0,3,1,0,1
1328.0,154.0,3,5,3,4
2000.0,198.0,3,4,3,2
1050.0,117.0,3,2,1,2
690.0,57.0,2,2,1,2
700.0,68.0,3,2,1,1
3046.0,298.0,4,3,2,3
930.0,50.0,1,1,0,1
372.0,51.0,1,2,1,1
0.0,60.0,2,2,1,1
1115.0,84.0,3,2,1,2
438.0,58.0,3,2,1,2
650.0,68.0,3,1,0,1
700.0,134.0,3,2,1,2
240.0,70.0,2,2,1,1
600.0,68.0,3,2,1,2
300.0,65.0,2,1,0,1
0.0,50.0,2,2,1,1
120.0,75.0,2,1,0,1
980.0,110.0,3,4,1,2
450.0,42.0,1,1,0,1
310.0,30.0,1,2,1,1
885.0,72.0,2,2,1,2
658.0,63.0,3,2,1,1
430.0,61.0,2,2,1,1
1100.0,90.0,2,1,0,1
0.0,44.0,2,2,1,1
744.0,65.0,2,1,0,1
300.0,30.0,1,1,0,0
750.0,85.0,3,2,1,2
240.0,42.0,2,2,1,1
490.0,47.0,1,1,0,1
350.0,45.0,1,1,0,1
490.0,55.0,3,1,0,1
500.0,57.0,2,2,1,1
657.0,95.0,2,2,1,1
500.0,30.0,1,2,1,1
1450.0,155.0,3,4,3,3
611.0,85.0,2,2,1,2
0.0,55.0,2,1,0,0
500.0,95.0,3,2,1,1
580.0,70.0,2,2,1,2
4174.0,236.0,4,5,4,3
1286.0,111.0,2,3,2,2
0.0,46.0,1,1,0,1
695.0,89.0,2,2,1,1
530.0,54.0,2,2,1,1
400.0,42.0,1,1,0,1
1650.0,213.0,4,4,3,3
750.0,65.0,2,2,1,1
399.0,62.0,3,2,1,1
850.0,90.0,3,2,0,1
4700.0,377.0,4,6,4,5
586.0,60.0,2,2,1,1
600.0,76.0,3,1,0,1
0.0,153.0,3,2,1,3
0.0,100.0,3,2,1,2
550.0,72.0,2,2,1,1
550.0,60.0,2,1,0,1
730.0,70.0,3,1,0,1
1032.0,86.0,1,2,1,2
900.0,78.0,3,2,0,1
452.0,47.0,2,2,1,1
700.0,50.0,2,2,1,1
306.0,60.0,2,1,0,0
1750.0,88.0,3,2,1,2
1017.0,94.0,2,3,1,2
100.0,30.0,2,1,0,1
340.0,70.0,2,2,1,1
400.0,41.0,1,2,1,1
0.0,61.0,3,2,1,1
660.0,65.0,2,1,0,1
2200.0,165.0,3,2,1,1
800.0,77.0,3,2,1,2
372.0,60.0,2,1,0,1
180.0,56.0,2,2,1,1
995.0,60.0,2,1,0,1
160.0,50.0,2,1,0,1
385.0,40.0,2,2,1,1
0.0,46.0,2,2,1,1
539.0,60.0,3,2,1,1
440.0,61.0,1,1,0,0
525.0,50.0,2,2,1,1
415.0,48.0,2,1,0,1
3200.0,230.0,4,5,4,4
400.0,45.0,1,1,0,1
410.0,45.0,1,1,0,1
960.0,82.0,3,2,1,0
1650.0,155.0,3,3,1,2
1826.0,165.0,4,5,2,4
520.0,81.0,2,2,1,1
630.0,75.0,3,2,1,1
1100.0,100.0,3,3,1,3
700.0,90.0,2,1,0,1
1200.0,159.0,3,4,3,2
8860.0,414.0,4,5,4,4
1072.0,85.0,2,2,1,1
484.0,47.0,2,1,0,1
520.0,53.0,2,1,0,1
330.0,45.0,2,2,1,1
820.0,82.0,3,1,0,1
444.0,77.0,3,1,0,0
1160.0,86.0,2,2,1,2
670.0,43.0,1,2,1,1
1600.0,175.0,4,4,3,3
300.0,45.0,1,1,0,0
639.0,75.0,3,2,0,1
1260.0,171.0,4,4,3,3
337.0,55.0,2,1,0,1
1200.0,127.0,2,2,1,2
374.0,65.0,2,2,1,1
560.0,70.0,1,1,0,2
900.0,74.0,2,2,1,2
780.0,44.0,1,2,1,1
850.0,83.0,3,3,2,2
800.0,150.0,3,4,3,2
0.0,40.0,2,2,1,1
610.0,96.0,3,1,0,1
220.0,100.0,2,1,0,1
991.0,110.0,2,2,1,2
280.0,35.0,1,1,0,1
452.0,55.0,2,2,1,1
900.0,126.0,3,4,3,2
0.0,240.0,3,3,1,1
3200.0,237.0,3,4,3,3
2200.0,200.0,3,4,3,3
2100.0,222.0,4,6,4,4
320.0,50.0,2,2,1,1
452.0,55.0,2,1,0,1
200.0,75.0,1,2,0,1
2900.0,230.0,4,3,2,3
1400.0,110.0,2,2,1,2
3800.0,210.0,4,4,2,3
287.0,60.0,3,2,1,1
500.0,50.0,2,1,0,1
230.0,61.0,2,2,1,1
656.0,55.0,2,2,1,1
2178.0,190.0,3,5,3,3
636.0,80.0,3,1,0,1
465.0,51.0,2,2,1,1
850.0,50.0,1,2,1,1
0.0,94.0,2,2,1,2
250.0,48.0,2,2,1,1
603.0,47.0,1,2,1,1
1368.0,133.0,3,4,3,2
598.0,55.0,2,2,1,1
550.0,55.0,2,1,0,1
650.0,80.0,3,2,1,2
587.0,52.0,2,2,1,1
810.0,70.0,2,2,1,2
2900.0,165.0,3,5,3,3
2263.0,250.0,4,5,4,4
1700.0,194.0,3,5,4,4
2000.0,36.0,1,2,1,1
800.0,80.0,2,1,0,0
0.0,56.0,2,1,0,1
680.0,55.0,2,2,1,1
1200.0,145.0,4,5,3,3
0.0,65.0,3,2,1,1
1400.0,130.0,3,3,1,1
5251.0,378.0,3,4,3,3
950.0,90.0,3,2,1,3
980.0,98.0,3,2,1,1
564.0,78.0,3,2,1,1
600.0,92.0,3,2,1,3
400.0,57.0,2,1,0,1
450.0,57.0,2,2,1,1
50.0,45.0,2,2,1,1
490.0,65.0,3,2,1,1
537.0,52.0,2,2,1,1
1870.0,167.0,3,4,3,2
0.0,36.0,1,1,0,1
520.0,42.0,1,2,1,1
480.0,65.0,2,2,1,1
1400.0,67.0,3,1,0,1
0.0,56.0,2,1,0,1
680.0,70.0,3,2,1,1
700.0,80.0,2,3,1,1
2500.0,170.0,3,3,1,2
470.0,62.0,3,2,1,1
200.0,72.0,1,2,0,1
650.0,35.0,1,2,1,1
1726.0,75.0,1,2,1,2
1960.0,150.0,3,5,3,3
510.0,74.0,3,2,1,1
547.0,78.0,2,2,1,2
437.0,52.0,2,2,1,1
660.0,52.0,3,2,1,1
610.0,60.0,1,1,0,0
485.0,50.0,2,2,1,1
1200.0,101.0,3,2,1,2
411.0,50.0,2,2,1,1
1700.0,135.0,3,2,1,2
690.0,70.0,3,2,1,2
430.0,48.0,2,1,0,0
650.0,82.0,3,3,2,2
650.0,90.0,2,2,1,2
558.0,60.0,2,2,1,1
1007.0,93.0,3,2,1,2
1500.0,172.0,3,4,2,3
0.0,56.0,2,2,1,1
0.0,57.0,2,2,1,1
2400.0,156.0,4,4,3,3
700.0,70.0,2,1,0,1
536.0,74.0,2,2,1,1
315.0,48.0,2,1,0,1
480.0,70.0,3,2,1,1
450.0,50.0,1,1,0,1
1600.0,210.0,3,4,3,4
60.0,30.0,1,2,1,1
1650.0,155.0,3,3,1,2
600.0,82.0,3,2,1,2
1500.0,98.0,2,3,2,2
900.0,68.0,2,1,0,1
780.0,110.0,3,2,1,2
800.0,68.0,3,2,1,1
4200.0,270.0,4,5,4,4
500.0,50.0,2,1,0,1
1500.0,104.0,3,2,1,2
1600.0,175.0,3,3,1,1
1701.0,213.0,3,4,3,3
530.0,52.0,2,2,1,1
450.0,70.0,2,2,1,1
800.0,70.0,2,1,0,1
560.0,74.0,3,2,1,2
541.0,41.0,1,2,1,1
1364.0,131.0,3,3,1,2
590.0,55.0,2,1,0,1
1000.0,145.0,4,2,1,1
800.0,70.0,2,2,1,1
420.0,70.0,2,2,1,2
1200.0,140.0,3,1,3,1
818.0,89.0,2,2,1,1
646.0,74.0,3,2,1,2
650.0,66.0,3,2,1,2
250.0,35.0,1,2,1,1
790.0,114.0,2,4,1,2
1182.0,129.0,3,2,1,3
860.0,72.0,2,3,1,2
400.0,48.0,1,1,0,1
934.0,110.0,3,2,1,2
350.0,52.0,2,2,1,1
566.0,67.0,2,2,1,1
585.0,34.0,1,1,0,1
700.0,83.0,2,1,0,1
970.0,42.0,1,2,1,1
476.0,45.0,1,1,0,1
0.0,35.0,1,2,1,1
590.0,52.0,2,2,1,1
766.0,75.0,2,2,1,1
1600.0,140.0,3,4,3,2
3000.0,200.0,4,3,2,3
3000.0,270.0,4,6,4,4
550.0,54.0,3,1,0,1
0.0,56.0,2,1,0,1
390.0,55.0,2,1,0,1
587.0,75.0,3,1,0,2
400.0,50.0,2,1,0,1
650.0,94.0,2,2,1,2
2800.0,250.0,3,4,3,0
350.0,51.0,1,1,0,1
1210.0,127.0,2,2,1,2
553.0,65.0,2,1,0,1
477.0,44.0,1,1,0,1
1370.0,75.0,2,2,1,2
820.0,40.0,1,2,1,1
380.0,72.0,2,1,0,1
770.0,70.0,2,2,1,1
3300.0,171.0,3,3,1,3
350.0,112.0,2,2,1,2
465.0,38.0,1,2,1,1
4981.0,306.0,3,4,3,6
500.0,70.0,3,1,0,1
320.0,50.0,2,1,0,1
500.0,48.0,2,1,0,1
608.0,71.0,3,2,1,2
382.0,60.0,2,1,0,1
860.0,112.0,3,3,2,2
70.0,40.0,1,1,0,1
750.0,89.0,3,2,1,1
361.0,48.0,1,1,0,0
1850.0,192.0,4,6,3,2
570.0,82.0,3,2,1,1
1500.0,80.0,2,2,1,2
800.0,60.0,2,2,1,1
2225.0,290.0,4,6,4,5
1044.0,37.0,1,2,1,2
1300.0,38.0,1,1,0,1
776.0,70.0,2,3,2,1
640.0,70.0,3,2,1,1
574.0,41.0,1,1,0,1
1400.0,110.0,3,2,1,1
450.0,55.0,1,2,1,1
160.0,50.0,2,1,0,1
642.0,55.0,2,1,0,1
774.0,62.0,2,2,1,1
541.0,49.0,1,2,1,1
850.0,122.0,3,2,1,2
1316.0,160.0,3,3,2,2
811.0,107.0,3,3,1,2
380.0,47.0,2,1,0,1
400.0,50.0,2,1,0,0
600.0,70.0,2,2,1,2
160.0,50.0,2,2,1,1
750.0,42.0,1,1,0,1
1350.0,98.0,2,2,1,2
1484.0,124.0,2,3,2,2
0.0,50.0,2,2,1,1
547.0,60.0,2,2,1,1
1260.0,47.0,1,2,1,1
2019.0,35.0,1,1,0,1
1323.0,132.0,3,3,1,2
0.0,97.0,3,2,1,1
380.0,57.0,2,2,1,1
0.0,70.0,2,1,0,1
240.0,48.0,2,2,1,1
510.0,60.0,2,2,1,1
1500.0,186.0,4,3,2,2
480.0,173.0,3,2,1,0
0.0,75.0,2,2,1,2
237.0,51.0,2,2,1,1
415.0,43.0,1,1,0,1
1400.0,110.0,3,2,1,1
386.0,55.0,2,2,1,1
420.0,46.0,2,1,0,1
0.0,135.0,3,2,1,2
730.0,72.0,3,2,1,1
1290.0,78.0,1,2,1,2
1490.0,98.0,2,2,1,2
398.0,57.0,3,2,1,1
800.0,52.0,2,2,1,1
380.0,52.0,2,2,1,1
720.0,74.0,3,2,0,1
345.0,49.0,2,2,1,1
1020.0,105.0,3,2,1,1
1300.0,125.0,3,4,3,3
660.0,62.0,3,2,1,1
10.0,90.0,2,1,0,0
0.0,217.0,1,1,0,2
500.0,50.0,2,2,1,1
1180.0,107.0,3,3,1,1
275.0,83.0,3,2,1,1
0.0,62.0,3,2,1,1
580.0,55.0,3,2,1,1
455.0,67.0,2,1,0,1
0.0,120.0,2,5,2,2
540.0,65.0,3,2,1,1
2754.0,220.0,4,4,3,3
870.0,71.0,3,2,1,1
560.0,48.0,2,1,0,1
850.0,70.0,3,2,1,1
490.0,60.0,2,1,0,1
500.0,65.0,2,2,1,1
147.0,89.0,2,2,1,1
700.0,86.0,3,2,1,2
670.0,65.0,3,2,1,1
0.0,60.0,2,2,1,1
600.0,33.0,1,1,0,1
500.0,33.0,1,2,1,1
545.0,43.0,1,2,1,1
1600.0,177.0,4,3,2,3
100.0,74.0,2,1,0,1
1690.0,138.0,3,2,1,1
270.0,35.0,1,2,1,1
600.0,70.0,3,2,1,1
990.0,78.0,2,2,1,2
0.0,45.0,1,1,0,2
1169.0,110.0,3,2,1,1
526.0,30.0,1,1,0,0
300.0,37.0,1,2,1,1
1300.0,85.0,3,3,2,1
1450.0,193.0,2,1,0,2
436.0,67.0,3,2,1,1
350.0,44.0,2,1,0,1
1408.0,70.0,2,2,1,2
0.0,61.0,3,2,1,1
120.0,60.0,2,2,1,1
2050.0,250.0,4,3,2,2
435.0,55.0,2,1,0,1
660.0,59.0,2,1,0,1
1050.0,85.0,2,3,2,2
0.0,60.0,1,2,1,1
2400.0,276.0,4,5,4,2
483.0,52.0,2,2,1,1
1020.0,108.0,2,2,1,1
292.0,62.0,2,2,1,1
1051.0,62.0,1,2,1,2
330.0,45.0,2,2,1,1
1350.0,44.0,1,2,1,1
400.0,40.0,2,1,0,1
0.0,48.0,2,2,1,1
445.0,65.0,2,2,1,1
895.0,82.0,3,2,1,2
900.0,93.0,3,2,1,1
460.0,47.0,2,1,0,1
150.0,60.0,3,2,0,0
680.0,65.0,2,2,1,1
1850.0,250.0,3,3,2,2
1350.0,70.0,1,2,1,1
0.0,65.0,2,2,1,1
0.0,45.0,1,2,1,1
759.0,65.0,2,2,1,1
780.0,110.0,3,2,1,2
831.0,80.0,2,1,0,1
550.0,65.0,2,1,0,1
1300.0,190.0,4,5,4,3
2300.0,166.0,3,4,3,2
700.0,77.0,2,2,1,2
555.0,70.0,3,2,1,1
1200.0,185.0,4,5,3,2
1842.0,162.0,3,5,3,3
550.0,75.0,2,2,1,1
4251.0,270.0,4,5,4,4
350.0,49.0,2,2,1,1
1400.0,138.0,2,3,2,2
637.0,50.0,2,2,1,1
580.0,53.0,2,1,0,2
540.0,49.0,1,1,0,1
0.0,70.0,2,2,1,1
2314.0,157.0,3,4,3,4
3500.0,252.0,4,5,4,5
1400.0,171.0,3,4,3,3
1000.0,97.0,3,2,1,2
550.0,60.0,2,2,1,2
1150.0,90.0,2,2,1,2
580.0,60.0,3,1,0,1
885.0,107.0,3,3,1,1
1030.0,126.0,3,5,3,2
700.0,76.0,3,2,1,2
594.0,65.0,2,2,0,1
513.0,50.0,1,1,0,0
279.0,56.0,2,2,1,1
435.0,62.0,2,2,1,2
270.0,41.0,3,1,0,1
745.0,60.0,2,2,1,1
0.0,70.0,2,1,0,0
692.0,54.0,2,2,1,1
1300.0,120.0,3,2,1,2
